crp,lastname,firstname,party,distIdRunFor,fec_id
N00036633,Abraham, Ralph,R,LA05,H4LA05221
N00037014,Achadjian, Katcho,R,CA24,H6CA24295
N00035451,Adams, Alma,D,NC12,H4NC12100
N00036990,Adams, Boyce,R,MS01,H5MS01067
N00037273,Adams, David,R,FL26,H6FL26017
N00037274,Adams, Desmund,D,IA03,H6IA03235
N00027843,Adams, Eddie,R,FL14,H6FL11175
N00036926,Adcock, Sam,R,MS01,H5MS01034
N00003028,Aderholt, Robert B,R,AL04,H6AL04098
N00033165,Agbede, Akinyemi,D,CAS1,S6CA00634
N00033997,Aguilar, Pete,D,CA31,H2CA31125
N00037402,Alam, MD,D,MOS1,S6MO00388
N00038843,Albarran, Charlene,D,UT02,H6UT02390
N00036917,Albertson, Stewart,D,CAS1,S6CA00618
N00038776,Allan, Seth,R,OR05,H6OR05168
N00033720,Allen, Richard W,R,GA12,H2GA12121
N00031938,Amash, Justin,R,MI03,H0MI03126
N00031177,Amodei, Mark,R,NV02,H2NV02395
N00038203,Anderson, Dave,D,MD08,H6MD08515
N00038571,Anderson, Phil,L,WIS2,S6WI00152
N00037163,Anderson, Stephanie,3,FL23,H6FL23048
N00038605,Andres, Teresita,D,CA22,H6CA22166
N00038806,Ansel, Jeff,I,TX13,H6TX13126
N00038621,Anthony, Malcolm,R,FL06,H6FL06142
N00038599,Appleby, Alex,L,CA09,H6CA09106
N00037263,Applegate, Douglas L,D,CA49,H6CA49102
N00038594,Armstrong-Stoner, Derek James,D,AZ08,H6AZ08178
N00038285,Arrington, Jodey,R,TX19,H6TX19099
N00036932,Ash, James,R,CA53,H6CA53047
N00005293,Ashford, Brad,D,NE02,H4NE02054
N00036354,Ashworth, Matthew,R,OH08,H6OH08117
N00038654,Assini, Mark W,R,NY25,H6NY25166
N00031491,Atanus, Susanne,R,IL09,H0IL09080
N00037020,Atkinson, Jacquie,R,CA52,H6CA52114
N00030980,Ayotte, Kelly,R,NHS1,S0NH00235
N00033731,Babeu, Paul,R,AZ01,H2AZ04127
N00005736,Babin, Brian,R,TX36,H6TX02079
N00037049,Bacon, Donald John,R,NE02,H6NE02125
N00038660,Baker, Bruce,R,CO07,H6CO07098
N00037618,Baker, Collin,R,TX06,H6TX06153
N00037598,Baker, Terry,R,MD06,H6MD06220
N00036368,Balchunis, Mary Ellen,D,PA07,H4PA07092
N00037452,Baldacci, Joe,D,ME02,H6ME02122
N00037303,Bangstad, Kirk,D,WI07,H6WI07140
N00037185,Banks, Jim,R,IN03,H6IN03229
N00037608,Bard, Gavin,3,NJ01,H6NJ01196
N00037030,Baricevic, Charles John,D,IL12,H6IL12099
N00033200,Barkley, Mike,D,CA10,H2CA00096
N00025495,Barletta, Lou,R,PA11,H2PA11098
N00038619,Barney, Sean,D,DE01,H6DE01097
N00031233,Barr, Andy,R,KY06,H0KY06104
N00037019,Barragan, Nanette,D,CA44,H6CA44103
N00038828,Barrera, Roy,D,TX27,H6TX27092
N00037265,Barringer, Adam,R,FL06,H6FL06100
N00037454,Bartley, Lori,R,TX18,H6TX18141
N00005656,Barton, Joe,R,TX06,H4TX06117
N00001883,Barve, Kumar P,D,MD08,H6MD08291
N00038671,Basham, Danny,D,IN06,H6IN06164
N00031877,Bass, Karen,D,CA37,H0CA33117
N00037160,Batsche, Christopher,R,MOS1,S6MO00370
N00038259,Batts, Jason,R,KY01,H6KY01102
N00038687,Baucum, Trey,R,LA04,H6LA04120
N00038659,Baugh, Scott,R,CA48,H6CA48245
N00038277,Beagle, Bill,R,OH08,H6OH08141
N00038245,Bean, Rowan,I,AZ02,H6AZ02197
N00033904,Beatty, Joyce,D,OH03,H2OH03125
N00009774,Becerra, Xavier,D,CA34,H2CA30143
N00036936,Beck, Kristin,D,MD05,H6MD05198
N00032702,Becker, Francis X Jr,R,NY04,H0NY04099
